version,mis_a_jour,ordre_pack,categorie_pack,nom_pack,payant,description_pack,ordre_carte,id_carte,titre_carte,emoji,texte_carte,type_carte,ambiance
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",22,vanille-22,Câlin tendre,🧸,"Faire un long câlin qui reste tendre du début à la fin, nu ou habillé.",practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",23,vanille-23,Sieste collée,😴,Faire une sieste ou un moment de repos enlacés sous la même couverture.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",24,vanille-24,Tenue de date,👗,Choisir une tenue pour plaire à l’autre et la porter lors d’un moment à deux.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",25,vanille-25,Mot caché,📝,Cacher un petit mot doux dans un endroit où l’autre le trouvera dans la journée.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",26,vanille-26,Petite attention,🎁,Offrir à l’autre un geste simple mais choisi spécialement pour lui faire plaisir.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",27,vanille-27,Matin lent,☀️,"Rester au lit dix minutes de plus pour vous embrasser, vous toucher ou parler doucement.",practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",28,vanille-28,Bras ouverts,🌛,S’endormir dans les bras l’un de l’autre pendant au moins quelques minutes.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",29,vanille-29,Week-end love,🧳,Planifier une escapade ou une demi-journée romantique avec une date précise.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",30,vanille-30,Moment culte,🎞️,"Recréer un moment important de votre histoire avec un lieu, une tenue ou une phrase souvenir.",practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",31,vanille-31,Trois mercis,🙏,Dire chacun trois mercis précis à l’autre pour des gestes récents.,discussion,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",32,vanille-32,Massage mains,🤲,"Se masser les mains pendant cinq minutes chacun, lentement et en silence.",practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",33,vanille-33,Compliments,🌷,Se faire chacun trois compliments qui ne parlent pas de performance ni de sexe.,discussion,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",34,vanille-34,Je te désire,🔥,Dire à l’autre une phrase tendre qui commence par “j’ai envie de toi quand…”.,discussion,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",35,vanille-35,Dîner spécial,🍝,"Préparer un repas comme pour une grande occasion, même si vous restez à la maison.",practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",36,vanille-36,Soirée pyjama,🧦,"Passer une soirée en pyjama avec un film, des câlins et zéro pression sexuelle.",practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",37,vanille-37,Lecture love,📖,Lire à voix haute un texte romantique ou sensuel pendant que l’autre reste blotti contre vous.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",38,vanille-38,Film collés,🍿,Regarder un film en restant l’un contre l’autre du début à la fin.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",39,vanille-39,Photo tendre,📷,Prendre une photo de couple douce que vous gardez uniquement pour vous.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",40,vanille-40,Surnom doux,🐻,Inventer chacun un surnom tendre et l’utiliser pendant toute une soirée.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",41,vanille-41,Couple d’abord,🗓️,Réserver un créneau dans l’agenda où rien ne passe avant votre couple.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",42,vanille-42,Aimé·e comment,💞,Dire chacun deux gestes qui vous font vous sentir aimé·e et en faire un dans la semaine.,discussion,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",43,vanille-43,Rituel du soir,🌌,Créer un rituel de cinq minutes à faire ensemble avant de dormir.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",44,vanille-44,Nuque douce,👐,Masser doucement la nuque et les épaules de l’autre pendant cinq minutes.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",45,vanille-45,Bisou réveil,🌤️,"Commencer la journée par un vrai baiser, sans regarder vos téléphones avant.",practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",46,vanille-46,Envie douce,🫶,"Proposer une envie tendre à vivre ensemble cette semaine, avec un moment précis.",discussion,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",47,vanille-47,Surprise love,🎀,Préparer une surprise romantique simple que l’autre découvre sans l’avoir demandée.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",48,vanille-48,Se redécouvrir,🥂,Se poser chacun cinq questions comme lors d’un premier rendez-vous.,discussion,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",49,vanille-49,Mot secret,🗝️,Dire une phrase sincère que vous pensez souvent mais que vous dites trop rarement.,discussion,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",50,vanille-50,Fin tendre,🕊️,Terminer la journée par dix minutes de tendresse sans écran ni distraction.,practice,calme
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",1,sensuel-01,Huile chaude,🧴,"Faire un massage complet avec de l’huile tiède, en laissant les mains ralentir sur les zones les plus sensibles.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",2,sensuel-02,Bout des doigts,✋,Parcourir lentement le corps de l’autre du bout des doigts pendant cinq minutes.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",3,sensuel-03,Baiser cou,🦢,"Embrasser le cou de l’autre très lentement, sans utiliser les mains au début.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",4,sensuel-04,Sous les draps,🛌,Se caresser doucement sous la couette pendant dix minutes avant de décider la suite.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",5,sensuel-05,Déshabillage lent,👕,"Déshabiller l’autre pièce par pièce, en prenant au moins dix secondes par vêtement.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",6,sensuel-06,À moitié vêtu·e,🧥,Garder un vêtement choisi par l’autre pendant un moment intime.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",7,sensuel-07,Lumière basse,🕯️,Préparer une lumière tamisée avant de vous embrasser ou de vous masser.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",8,sensuel-08,Musique chaude,🎼,Lancer une playlist sensuelle et suivre son rythme pendant les caresses.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",9,sensuel-09,Douche chaude,🚿,"Partager une douche lente en vous lavant mutuellement le dos, les épaules et les bras.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",10,sensuel-10,Se laver,🫧,"Laver le corps de l’autre avec les mains, puis ralentir sur les épaules, le dos et les hanches.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",11,sensuel-11,Silence,🤫,"Se toucher pendant dix minutes sans parler, uniquement avec les mains, les regards et la respiration.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",12,sensuel-12,Respiration,🌬️,Vous allonger face à face et caler votre respiration pendant deux minutes avant de vous toucher.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",13,sensuel-13,À travers le tissu,🧶,Se caresser uniquement par-dessus les vêtements pendant cinq minutes.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",14,sensuel-14,Bandeau doux,🙈,Bander les yeux d’une personne et lui faire deviner trois caresses différentes.,practice,aventureux
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",15,sensuel-15,Avec les lèvres,👄,Toucher le corps de l’autre uniquement avec les lèvres pendant quelques minutes.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",16,sensuel-16,Zones oubliées,🗺️,Choisir trois zones peu caressées et leur consacrer une minute chacune.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",17,sensuel-17,Hanches,〰️,"Embrasser lentement le ventre, les hanches ou le bas du dos de l’autre.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",18,sensuel-18,Jambes,🦵,"Masser les jambes de l’autre des chevilles aux cuisses, sans vous presser.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",19,sensuel-19,Pieds,🦶,"Offrir un massage des pieds de cinq minutes, puis échanger les rôles.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",20,sensuel-20,Plume,🪶,Faire glisser une plume ou un tissu doux sur trois zones sensibles du corps.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",21,sensuel-21,Chaud froid,🧊,"Alterner une sensation tiède et une sensation froide sur la peau, sans douleur.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",22,sensuel-22,Guide mes mains,🧭,Prendre les mains de l’autre et les poser sur trois endroits où vous aimez être touché·e.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",23,sensuel-23,Dis-moi où,🎯,"Pendant les caresses, guider l’autre avec des mots simples : plus haut, plus bas, plus doux, encore.",discussion,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",24,sensuel-24,Préliminaires longs,⏳,Faire durer les préliminaires au moins vingt minutes avant toute pénétration.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",25,sensuel-25,Sans objectif,🌀,Partager un moment de plaisir où l’orgasme n’est pas le but à atteindre.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",26,sensuel-26,Admiration,🪞,Dire à voix haute trois détails du corps de l’autre que vous aimez regarder.,discussion,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",27,sensuel-27,Se laisser voir,👁️,Laisser l’autre vous regarder pendant une minute sans vous cacher.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",28,sensuel-28,Miroir,🪞,Vous placer devant un miroir et vous embrasser ou vous caresser en vous regardant.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",29,sensuel-29,Avant le baiser,💫,Vous frôler et vous caresser pendant cinq minutes avant le premier baiser.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",30,sensuel-30,Très lent,🐢,Ralentir volontairement chaque geste pendant dix minutes.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",31,sensuel-31,Une seule zone,🔍,Choisir une seule zone du corps et lui consacrer toute l’attention pendant cinq minutes.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",32,sensuel-32,Soirée lente,🕰️,Prévoir une soirée où chaque étape intime doit durer plus longtemps que d’habitude.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",33,sensuel-33,Hôtel maison,🏨,"Transformer la chambre en suite d’hôtel avec lit préparé, lumière douce et boisson à portée.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",34,sensuel-34,Matière douce,🧵,Porter une matière agréable à toucher et inviter l’autre à la découvrir avec les mains.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",35,sensuel-35,Sans pénétration,🚫,"Faire monter le désir avec baisers, mains ou bouche, sans pénétration.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",36,sensuel-36,Mains seules,🤲,"Se donner du plaisir uniquement avec les mains, en laissant le rythme monter peu à peu.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",37,sensuel-37,Bouche seule,👅,"Se donner du plaisir uniquement avec la bouche, sans utiliser les mains au début.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",38,sensuel-38,Doux puis fort,🌊,Alterner trente secondes de caresses douces et trente secondes de baisers plus appuyés.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",39,sensuel-39,Murmures,🗣️,Murmurer à l’oreille de l’autre ce qui fait du bien pendant que ça arrive.,discussion,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",40,sensuel-40,Réveil sensuel,🌅,Commencer la journée par des caresses lentes avant de sortir du lit.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",41,sensuel-41,Nuit sensuelle,🌙,Finir la journée par un moment peau contre peau sous les draps.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",42,sensuel-42,Massage avant,💆,Faire un massage de dix minutes avant un rapport ou avant de décider la suite.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",43,sensuel-43,Massage gratuit,🕊️,"Se masser longuement en gardant la scène sensuelle, sans la transformer en rapport.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",44,sensuel-44,Frissons,⚡,Tester trois gestes doux et garder celui qui donne le plus de frissons à l’autre.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",45,sensuel-45,Baiser minute,⏱️,Faire durer un baiser au moins deux minutes sans vous interrompre.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",46,sensuel-46,Rythme choisi,🎚️,"Pendant cinq minutes, une personne choisit le rythme des caresses et l’autre suit.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",47,sensuel-47,Lubrifiant doux,💧,"Utiliser du lubrifiant pour rendre une caresse, un frottement ou une pénétration plus glissante.",practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",48,sensuel-48,Yeux fermés,😌,Fermer les yeux et laisser l’autre vous faire deviner chaque caresse.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",49,sensuel-49,Corps immobiles,🧲,Rester nus ou presque nus l’un contre l’autre sans bouger pendant trois minutes.,practice,sensuel
4,2026-07-06,2,Sensuel,Sensuel,oui,"Un pack lent, tactile et charnel pour faire monter le désir par la peau.",50,sensuel-50,Retour calme,🫶,"Finir le moment par un câlin, un verre d’eau et une phrase sur ce qui a plu.",practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",1,seduction-01,Message chaud,📱,Envoyer dans la journée un message suggestif qui annonce une envie précise pour ce soir.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",2,seduction-02,Tension lente,🔥,Faire monter l’envie pendant la journée avec trois petites attentions ou messages espacés.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",3,seduction-03,Photo privée,📸,"Envoyer une photo sexy pensée uniquement pour l’autre, avec un cadrage qui suggère plus qu’il ne montre.",practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",4,seduction-04,Vocal intime,🎙️,Envoyer un vocal de moins d’une minute où vous dites ce que vous avez envie de faire plus tard.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",5,seduction-05,Tenue choisie,👠,Porter une tenue choisie pour exciter l’autre et lui laisser la découvrir lentement.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",6,seduction-06,Inconnus au bar,🍸,Vous retrouver dans un bar ou à table et flirter comme deux inconnus pendant quinze minutes.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",7,seduction-07,Première fois,🥂,Rejouer une première rencontre en vous posant des questions comme si vous ne vous connaissiez pas.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",8,seduction-08,Rendez-vous secret,🚪,Vous donner rendez-vous dans une pièce de la maison à une heure précise.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",9,seduction-09,Jeu de regards,👀,Vous provoquer du regard pendant un dîner sans vous toucher sous la table.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",10,seduction-10,À l’oreille,🐚,Chuchoter à l’oreille de l’autre une envie précise que vous aimeriez vivre.,discussion,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",11,seduction-11,Pas de baiser,🚫💋,Se toucher et se frôler pendant cinq minutes avant de céder au premier vrai baiser.,practice,aventureux
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",12,seduction-12,Pas de caresse,🙅,Vous séduire avec les mots et le regard pendant cinq minutes sans vous caresser.,practice,aventureux
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",13,seduction-13,Qui craque,🎲,Vous rapprocher lentement jusqu’à ce que l’un de vous demande clairement le premier baiser.,practice,aventureux
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",14,seduction-14,Plus tard,⏰,Dire à l’autre trois étapes précises de ce que vous aimeriez faire plus tard.,discussion,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",15,seduction-15,Chauffe SMS,💬,Échanger trois messages coquins chacun sans passer à l’action avant un horaire choisi.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",16,seduction-16,Devine,❓,Faire deviner à l’autre ce que vous portez avec trois indices de plus en plus précis.,practice,sensuel
4,2026-07-06,3,Séduction,Séduction,oui,"Messages, regards, teasing et tension avant de passer aux choses sérieuses.",17,seduction-17,Mot-code,🗝️,Choisir un mot secret qui veut dire “j’ai envie de toi maintenant”.,discussion,sensuel
